stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
Engineers India Limited ,2020-03-16,2021-03-11,360,holding_period,50000.0,64737.40211749649,14737.402117496487,0.2947480423499298
India Nippon Electricals Limited ,2020-03-16,2021-03-11,360,holding_period,50000.0,50000.0,0.0,0.0
Shoppers Stop Limited ,2020-03-16,2021-03-11,360,holding_period,50000.0,54490.95045556979,4490.950455569793,0.08981900911139595
UPL Limited,2020-03-16,2021-03-11,360,holding_period,50000.0,82444.79284329932,32444.79284329932,0.6488958568659864
Bosch Limited,2020-03-17,2021-03-12,360,holding_period,50000.0,71229.51301624656,21229.513016246565,0.4245902603249312
NLC India Limited,2020-03-17,2021-03-12,360,holding_period,50000.0,64504.279438762474,14504.279438762474,0.2900855887752496
Ambuja Cements Limited,2020-03-18,2021-03-15,362,holding_period,50000.0,88800.12488128296,38800.12488128296,0.7760024976256592
Bharat Forge Limited,2020-03-18,2021-03-15,362,holding_period,50000.0,88573.70010607936,38573.700106079355,0.7714740021215871
EIH Limited ,2020-03-18,2021-03-15,362,holding_period,50000.0,75653.1507188655,25653.150718865494,0.5130630143773098
M M Forgings Limited,2020-03-18,2021-03-15,362,holding_period,50000.0,50000.0,0.0,0.0
Mahindra & Mahindra Financial Services Limited ,2020-03-18,2021-03-15,362,holding_period,50000.0,90392.47804064484,40392.47804064484,0.8078495608128968
Shriram Finance Limited,2020-03-18,2021-03-15,362,holding_period,50000.0,103544.77242377761,53544.77242377761,1.0708954484755524
Uflex Limited,2020-03-18,2021-03-15,362,holding_period,50000.0,140638.0479124228,90638.0479124228,1.812760958248456
63 moons technologies limited,2020-03-19,2021-03-15,361,holding_period,50000.0,50000.0,0.0,0.0
Balrampur Chini Mills Limited ,2020-03-19,2021-03-15,361,holding_period,50000.0,118127.10190572786,68127.10190572786,1.3625420381145572
Container Corporation of India Limited ,2020-03-19,2021-03-15,361,holding_period,50000.0,98032.53208647094,48032.532086470936,0.9606506417294187
Finolex Industries Limited ,2020-03-19,2021-03-15,361,holding_period,50000.0,83575.66871783597,33575.66871783597,0.6715133743567194
Hindalco Industries Limited,2020-03-19,2021-03-15,361,holding_period,50000.0,167492.05251210317,117492.05251210317,2.3498410502420635
Kalpataru Projects International Limited ,2020-03-19,2021-03-15,361,holding_period,50000.0,87645.81508049712,37645.81508049712,0.7529163016099425
Lumax Industries Limited,2020-03-19,2021-03-15,361,holding_period,50000.0,89500.12465198421,39500.12465198421,0.7900024930396843
Sobha Limited ,2020-03-19,2021-03-15,361,holding_period,50000.0,124494.94217387421,74494.94217387421,1.489898843477484
Symphony Limited,2020-03-19,2021-03-15,361,holding_period,50000.0,69670.18974961965,19670.189749619647,0.393403794992393
Texmaco Infrastructure & Holdings Limited,2020-03-19,2021-03-15,361,holding_period,50000.0,50000.0,0.0,0.0
The Andhra Sugars Limited ,2020-03-19,2021-03-15,361,holding_period,50000.0,50000.0,0.0,0.0
The Tinplate Company of India Limited,2020-03-19,2021-03-15,361,holding_period,50000.0,114039.99158348785,64039.99158348785,1.280799831669757
ADC India Communications Limited,2020-03-23,2021-03-18,360,holding_period,50000.0,50000.0,0.0,0.0
Adani Ports and Special Economic Zone Limited ,2020-03-23,2021-03-18,360,holding_period,50000.0,163534.64660966434,113534.64660966434,2.270692932193287
Ador Welding Limited,2020-03-23,2021-03-18,360,holding_period,50000.0,50000.0,0.0,0.0
Axis Bank Limited,2020-03-23,2021-03-18,360,holding_period,50000.0,126381.7201893637,76381.7201893637,1.5276344037872738
DCM Shriram Limited ,2020-03-23,2021-03-18,360,holding_period,50000.0,130980.30847801072,80980.30847801072,1.6196061695602144
Godrej Industries Limited,2020-03-23,2021-03-18,360,holding_period,50000.0,88562.65005614079,38562.65005614079,0.7712530011228158
JSW Steel Limited,2020-03-23,2021-03-18,360,holding_period,50000.0,146608.35038401347,96608.35038401347,1.9321670076802695
Jindal Saw Limited ,2020-03-23,2021-03-18,360,holding_period,50000.0,82023.52724653584,32023.527246535843,0.6404705449307169
Kajaria Ceramics Limited,2020-03-23,2021-03-18,360,holding_period,50000.0,133371.63956189845,83371.63956189845,1.6674327912379692
Larsen & Toubro Limited,2020-03-23,2021-03-18,360,holding_period,50000.0,98739.74231095877,48739.74231095877,0.9747948462191753
Mangalam Cement Limited,2020-03-23,2021-03-18,360,holding_period,50000.0,50000.0,0.0,0.0
Maruti Suzuki India Limited ,2020-03-23,2021-03-18,360,holding_period,50000.0,84279.1476693111,34279.1476693111,0.6855829533862221
Privi Speciality Chemicals Limited,2020-03-23,2021-03-18,360,holding_period,50000.0,85648.3175273949,35648.3175273949,0.712966350547898
Sundram Fasteners Limited ,2020-03-23,2021-03-18,360,holding_period,50000.0,151715.31220121394,101715.31220121394,2.0343062440242785
Tamilnadu Petroproducts Limited,2020-03-23,2021-03-18,360,holding_period,50000.0,50000.00000000001,7.275957614183426e-12,2.220446049250313e-16
The Federal Bank Limited ,2020-03-23,2021-03-18,360,holding_period,50000.0,97113.49403914103,47113.494039141035,0.9422698807828207
Mahindra Lifespace Developers Limited,2020-04-24,2021-04-19,360,holding_period,50000.0,127994.93793883306,77994.93793883306,1.559898758776661
Vakrangee Limited,2020-04-24,2021-04-19,360,holding_period,50000.0,110764.58725765141,60764.58725765141,1.2152917451530283
Vardhman Textiles Limited,2020-04-24,2021-04-19,360,holding_period,50000.0,95478.23706836707,45478.237068367074,0.9095647413673416
