
lookback_quarters,threshold,exit_method,exit_param,statistic,na_allowed_pct,initial_capital,max_positions,position_size_pct,initial_value,final_value,CAGR,max_drawdown,Sharpe,win_ratio,Calmar,num_trades,start_date,end_date
16,0.8,holding_period,2Y,mean,0.3,10000000,200,0.005,10000000.0,17658782.897759028,0.023976599409972765,-0.07033040662595202,0.7032035804463607,0.4125,0.34091370376245433,160,2001-01-01,2025-01-01
16,0.8,holding_period,3Y,mean,0.3,10000000,200,0.005,10000000.0,16254129.37495681,0.020446298470296664,-0.13323169072413324,0.5433974075928665,0.4594594594594595,0.1534642273108456,148,2001-01-01,2025-01-01
16,0.8,holding_period,5Y,mean,0.3,10000000,200,0.005,10000000.0,20453741.08145988,0.0302648065610287,-0.1721785695476487,0.67256845975545,0.44554455445544555,0.17577568823193887,101,2001-01-01,2025-01-01
16,0.8,holding_period,7Y,mean,0.3,10000000,200,0.005,10000000.0,32821064.66072466,0.05076684513978047,-0.1721785695476487,0.8738793886303402,0.5294117647058824,0.2948499646219401,85,2001-01-01,2025-01-01
16,0.8,sell_threshold,10pct,mean,0.3,10000000,200,0.005,10000000.0,49015799.1517727,0.06847411083315724,-0.1653838992066012,1.109349493600931,0.48484848484848486,0.4140313002755962,66,2001-01-01,2025-01-01
16,0.8,sell_threshold,20pct,mean,0.3,10000000,200,0.005,10000000.0,51085149.485371836,0.07031664120091263,-0.20300329246706103,1.0781978065090079,0.42105263157894735,0.34638177709517737,57,2001-01-01,2025-01-01
16,0.8,sell_threshold,30pct,mean,0.3,10000000,200,0.005,10000000.0,53453477.7028606,0.07233956972175304,-0.2091446641592428,1.067921980578974,0.41509433962264153,0.3458829323356472,53,2001-01-01,2025-01-01
16,0.8,sell_threshold,40pct,mean,0.3,10000000,200,0.005,10000000.0,53143370.48221858,0.07207963327154476,-0.2151230262778016,1.035552383480517,0.40816326530612246,0.33506238043743347,49,2001-01-01,2025-01-01
16,0.8,sell_threshold,50pct,mean,0.3,10000000,200,0.005,10000000.0,55700184.29581699,0.07418073613747822,-0.26028632076980474,1.0012938635711641,0.43478260869565216,0.2849966756535128,46,2001-01-01,2025-01-01
16,0.8,sell_threshold,60pct,mean,0.3,10000000,200,0.005,10000000.0,58030382.847853355,0.076016612709644,-0.26870206766849747,0.996803367848333,0.4,0.2829029689619919,40,2001-01-01,2025-01-01
16,0.8,sell_threshold,70pct,mean,0.3,10000000,200,0.005,10000000.0,58715532.79049563,0.07654298479570398,-0.26800569723600576,1.0042967228381874,0.3888888888888889,0.2856020807956939,36,2001-01-01,2025-01-01
16,0.8,sell_threshold,80pct,mean,0.3,10000000,200,0.005,10000000.0,60785413.1110386,0.07809816587254037,-0.29191540231247576,0.9807538964779322,0.37142857142857144,0.26753698247460594,35,2001-01-01,2025-01-01
20,0.1,holding_period,1Q,mean,0.3,10000000,200,0.005,10000000.0,31113098.71134808,0.04842967008470134,-0.2570121519017442,0.8243903371349791,0.43304906412670285,0.1884333862284302,9029,2001-01-01,2025-01-01
20,0.1,holding_period,2Q,mean,0.3,10000000,200,0.005,10000000.0,35983752.590181746,0.05480238273966398,-0.2621961775911682,0.8713057393819789,0.45493827160493827,0.20901289730132946,4860,2001-01-01,2025-01-01
20,0.1,holding_period,3Q,mean,0.3,10000000,200,0.005,10000000.0,40215416.56283657,0.059700218339515665,-0.25336679677046176,0.8562511293459537,0.46250356429997147,0.23562763195684722,3507,2001-01-01,2025-01-01
20,0.1,holding_period,4Q,mean,0.3,10000000,200,0.005,10000000.0,41839950.32506368,0.061450220693233915,-0.24025554281881162,0.9155603658292353,0.4768211920529801,0.2557702518421251,2718,2001-01-01,2025-01-01
20,0.1,holding_period,2Y,mean,0.3,10000000,200,0.005,10000000.0,49135367.51578284,0.06858258487875513,-0.3055629783338785,0.8305217894754362,0.5460081190798376,0.22444664354533556,1478,2001-01-01,2025-01-01
20,0.1,holding_period,3Y,mean,0.3,10000000,200,0.005,10000000.0,47762621.269914456,0.06732170111069302,-0.3386951085925248,0.7551274624472969,0.5826848249027238,0.19876785758865506,1028,2001-01-01,2025-01-01
20,0.1,holding_period,5Y,mean,0.3,10000000,200,0.005,10000000.0,52299327.39415221,0.07136471180382875,-0.33650484273156056,0.7373946873979946,0.6096774193548387,0.21207632919790817,620,2001-01-01,2025-01-01
20,0.1,holding_period,7Y,mean,0.3,10000000,200,0.005,10000000.0,62865318.4131413,0.07961057519206882,-0.33650484273156056,0.7541943225383961,0.6725,0.2365807711586975,400,2001-01-01,2025-01-01
20,0.1,sell_threshold,10pct,mean,0.3,10000000,200,0.005,10000000.0,58998419.797550224,0.0767586000639906,-0.23190158434257138,0.9611503184805565,0.7125,0.33099644524463745,560,2001-01-01,2025-01-01
